	
	
	
	
	
	
	
	
	
	
	
	v
	v
	v
aardvark	
aardvarks	
abaci	V
aback	
abacus	
abacuses	
abaft	
abalone	
abalones	
abandon	
abandoned	
abandoning	
abandonment	
abandons	
abase	
abased	
abasement	
abases	
abash	
abashed	
abashedly	
abashes	
abashing	
abashment	
abasing	
abate	
abated	
abatement	
abates	
abating	
abattoir	
abattoirs	
abbe	
abbes	
abbess	
abbesses	
abbey	
abbeys	
abbot	
abbots	
abbreviate	
abbreviated	
abbreviates	
abbreviating	
abbreviation	
abbreviations	
abdicate	
abdicated	
abdicates	
abdicating	
abdication	
abdications	
abdomen	
abdomens	
abdominal	
abduct	
abducted	
abductee	
abductees	
abducting	
abduction	
abductions	
abductor	
abductors	
abducts	
abeam	
abed	
aberrant	
aberration	
aberrational	
aberrations	
abet	
abets	
abetted	
abetter	
abetters	
abetting	
abettor	
abettors	
abeyance	
abhor	
abhorred	
abhorrence	
abhorrent	
abhorrently	
abhorring	
abhors	
abidance	
abide	
abided	V
abides	
abiding	
abidingly	
abilities	
ability	
abject	
abjection	
abjectly	
abjectness	
abjuration	
abjurations	
abjuratory	
abjure	
abjured	
abjurer	
abjurers	
abjures	
abjuring	
ablate	
ablated	
ablates	
ablating	
ablation	
ablations	
ablative	
ablative	
ablatives	
ablaze	
able	
abler	
ablest	
abloom	
ablution	
ablutions	
ably	
abnegate	
abnegated	
abnegates	
abnegating	
abnegation	
abnormal	
abnormalities	
abnormality	
abnormally	
aboard	
aboard	
abode	
abode	
abodes	
abolish	
abolished	
abolishes	
abolishing	
abolition	
abolitionism	
abolitionist	
abolitionists	
abominable	
abominably	
abominate	
abominated	
abominates	
abominating	
abomination	
abominations	
aboriginal	
aboriginal	
aboriginals	
aborigine	
aborigines	
aborning	
abort	
aborted	
aborting	
abortion	
abortionist	
abortionists	
abortions	
abortive	
abortively	
aborts	
abound	
abounded	
abounding	
abounds	
about	
about	
above	
above	
above	
aboveboard	
abracadabra	
abrade	
abraded	
abrades	
abrading	
abrasion	
abrasions	
abrasive	
abrasive	
abrasively	
abrasiveness	
abrasives	
abreast	
abridge	
abridged	
abridgement	
abridgements	
abridges	
abridging	
abridgment	
abridgments	
abroad	
abrogate	
abrogated	
abrogates	
abrogating	
abrogation	
abrogations	
abrogator	
abrogators	
abrupt	
abrupter	
abruptest	
abruptly	
abruptness	
abs	
abscess	
abscess	
abscessed	
abscesses	
abscesses	
abscessing	
abscissa	
abscissae	V
abscissas	
abscission	
abscond	
absconded	
absconder	
absconders	
absconding	
absconds	
abseil	
abseil	
abseiled	
abseiling	
abseils	
abseils	
absence	
absences	
absent	
absent	
absented	
absentee	
absenteeism	
absentees	
absenting	
absently	
absentminded	
absentmindedly	
absentmindedness	
absents	
absinth	
absinthe	
absolute	
absolute	
absolutely	
absoluteness	
absolutes	
absolutest	
absolution	
absolutism	
absolutist	
absolutist	
absolutists	
absolve	
absolved	
absolves	
absolving	
absorb	
absorbed	
absorbency	
absorbent	
absorbent	
absorbents	
absorbing	
absorbingly	
absorbs	
absorption	
absorptive	
abstain	
abstained	
abstainer	
abstainers	
abstaining	
abstains	
abstemious	
abstemiously	
abstemiousness	
abstention	
